              Unnamed: 0 Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8 Unnamed: 9 Unnamed: 10        2 Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16      Open Unnamed: 18     Daily Unnamed: 20 Unnamed: 21 Unnamed: 22 Unnamed: 23 Unnamed: 24 Unnamed: 25 Unnamed: 26 Unnamed: 27
15           Date/Symbol        UUP        FXE        FXF        FXY        FXA        FXC        FXB       USDU        UDN         CYB      CEW        EUFX         GLD         SLV         BNO         PCX  DX-Y.NYB    EURUSD=X  GBPUSD=X    CHFUSD=X    AUDUSD=X    USDZAR=X    CNYUSD=X    CADUSD=X    RUBUSD=X    NZDUSD=X    JPYUSD=X
215  2014-08-04 00:00:00    21.0279     132.27    107.809      95.44    87.9013     89.366     165.01    22.1693    25.8751     24.3942  19.5846        36.4      126.19       19.19        42.3        4.25     81.39     1.34072   1.67819     1.10424     0.92773     10.6582    0.162702    0.911328     0.02765    0.846167  0.00979211
216  2014-08-11 00:00:00    21.0279     132.11    108.089      95.23    88.4033    90.0266     164.24    22.1604    25.8556     24.4328  19.7096        36.4      125.48       18.86       41.34         3.9     81.42     1.33897   1.67196     1.10676    0.931793     10.5763    0.162938    0.917701     0.02768    0.848248  0.00976591
217  2014-08-18 00:00:00    21.2605      130.6     106.88      93.72    88.2707    89.5829     162.96    22.3473    25.5638     24.4328  19.6423       36.85      123.19       18.69       41.02        3.63     82.34      1.3191    1.6542      1.0902      0.9298     10.6821    0.162827    0.911527     0.02766    0.835422  0.00959371
218  2014-08-25 00:00:00     21.338     129.54    106.271      93.61    88.5643    90.1943     163.23    22.3206    25.4373     24.4135  19.4018       36.95      123.86       18.71       41.34        3.66     82.75     1.31346   1.65909     1.08848    0.933445     10.6577    0.163042    0.919684     0.02697     0.83619  0.00960449
219  2014-09-01 00:00:00    21.6093      127.7    104.723      92.71    88.8579    90.1055     160.54     22.543    25.0871     24.4618  19.6519       37.62      122.06       18.42       40.47        3.66     83.76     1.29525   1.62177     1.07402    0.936856     10.7004     0.16201    0.918392     0.02704    0.831186  0.00950697
220  2014-09-08 00:00:00    21.7353     127.65    104.434      90.72    85.8264    88.3836     159.85     22.801    24.9315     24.4811  19.3248       37.57      118.38       17.89       38.96        3.67     84.24     1.29655   1.62591     1.07155     0.90082     11.0289     0.16313    0.901429     0.02644    0.814266  0.00931862
221  2014-09-15 00:00:00    21.8516     126.54    103.725      89.41    84.8114    89.5867     160.23    22.8988    24.7856     24.4907   19.219       37.91      117.09       17.19       39.18        3.72      84.8     1.28375    1.6306     1.06349    0.893655      11.062     0.16237    0.912784     0.02601     0.81473   0.0091797
222  2014-09-22 00:00:00    22.0939        125    102.506      89.12    83.2745    87.9102     159.68    23.1568    24.5132     24.4907  19.0363       38.35      117.06        16.9       38.66        3.49     85.64     1.26735   1.62411      1.0502    0.875273      11.216    0.163476    0.895632     0.02554    0.786349  0.00913467
223  2014-09-29 00:00:00    22.3652     123.33     100.96      88.68    82.2974    87.1015        157    23.3436    24.2019     24.4714  18.7092       38.92      114.61       16.12        36.7        3.44     86.69     1.25099   1.59619     1.03316    0.865801     11.3519     0.16111    0.887563     0.02499    0.772201  0.00910415
224  2014-10-06 00:00:00     22.152     124.31     101.87      90.39    82.5773    87.4654     157.73    23.1835    24.4257      24.539  18.9786       38.49      117.59       16.64       35.75        3.53     85.91     1.26489    1.6094     1.04688    0.866101     11.1198    0.163369    0.893112     0.02476    0.780884  0.00932288
