             Date/Symbol         FXF          FXY        FXA        FXC
79   2012-04-09 00:00:00    0.899272      1.61973    1.48266    1.36597
80   2012-04-16 00:00:00     1.08653      1.56722    1.48732     1.4216
81   2012-04-23 00:00:00     1.12611      1.68132    1.58348    1.53099
82   2012-04-30 00:00:00    0.940379      1.73319     1.3006    1.39193
83   2012-05-07 00:00:00    0.725715      1.72606    1.19276    1.34259
84   2012-05-14 00:00:00    0.544545      1.80839    0.99145    1.16272
85   2012-05-21 00:00:00    0.217223      1.74875   0.947444    1.08762
86   2012-05-28 00:00:00   0.0999946       1.9011   0.860363    1.00046
87   2012-06-04 00:00:00    0.201998      1.77857    1.11111    1.11321
88   2012-06-11 00:00:00    0.395347      1.84729    1.27072    1.15587
89   2012-06-18 00:00:00    0.273552      1.67354    1.25852    1.13269
90   2012-06-25 00:00:00    0.381644      1.71957    1.41624    1.19018
91   2012-07-02 00:00:00  -0.0750851      1.75134    1.38808    1.18462
92   2012-07-09 00:00:00   -0.132937      1.78505     1.4185    1.22219
93   2012-07-16 00:00:00   -0.233418      1.86674    1.57098    1.23981
94   2012-07-23 00:00:00  -0.0644283       1.8622    1.66603    1.31401
95   2012-07-30 00:00:00   0.0269185      1.85572     1.7291    1.33627
96   2012-08-06 00:00:00  -0.0674723      1.88554    1.77492    1.43932
97   2012-08-13 00:00:00  -0.0217989      1.75329    1.63623    1.45695
98   2012-08-20 00:00:00    0.198953      1.83951    1.62585    1.43376
99   2012-08-27 00:00:00    0.282687      1.87971    1.55698    1.49034
100  2012-09-03 00:00:00    0.442542      1.88295    1.59944    1.56362
101  2012-09-10 00:00:00    0.753119      1.86869    1.78423    1.63097
102  2012-09-17 00:00:00    0.646548      1.89656    1.68683     1.5781
103  2012-09-24 00:00:00     0.51562      1.90499    1.62346    1.51409
104  2012-10-01 00:00:00    0.696788      1.83821    1.40973    1.55583
105  2012-10-08 00:00:00    0.637413      1.86674     1.4973    1.55379
106  2012-10-15 00:00:00    0.713535      1.77274    1.58829     1.4202
107  2012-10-22 00:00:00    0.597831      1.74032     1.6338    1.37845
108  2012-10-29 00:00:00    0.504963      1.65863    1.58734    1.39701
109  2012-11-05 00:00:00    0.370988      1.75523    1.64137      1.347
110  2012-11-12 00:00:00    0.416661      1.57824    1.60536    1.35071
111  2012-11-19 00:00:00    0.728759      1.46997    1.72479    1.43515
112  2012-11-26 00:00:00    0.740939      1.46479     1.6973    1.41752
113  2012-12-03 00:00:00    0.606965      1.46284    1.73522    1.44257
114  2012-12-10 00:00:00    0.887092        1.363    1.82599    1.48813
115  2012-12-17 00:00:00    0.922109      1.29752    1.68543    1.42225
116  2012-12-24 00:00:00    0.970826      1.13545    1.65504    1.39255
117  2012-12-31 00:00:00    0.782045     0.961698    1.74811    1.48071
118  2013-01-07 00:00:00    0.963214     0.875473    1.79845    1.50772
119  2013-01-14 00:00:00    0.599352     0.808049    1.77851    1.43812
120  2013-01-21 00:00:00    0.733328     0.739328    1.70632     1.3017
121  2013-01-28 00:00:00      1.0774     0.592809    1.66643    1.38429
122  2013-02-04 00:00:00    0.900794     0.601238    1.61173    1.33519
123  2013-02-11 00:00:00     0.81706      0.54289    1.60032    1.30456
124  2013-02-18 00:00:00    0.675475     0.551318    1.63077     1.1737
125  2013-02-25 00:00:00     0.44711     0.540945    1.49565    1.11616
126  2013-03-04 00:00:00    0.297912     0.365253    1.55231    1.10325
127  2013-03-11 00:00:00    0.500394     0.410634    1.71626    1.18865
128  2013-03-18 00:00:00    0.483649      0.47352    1.75629    1.15338
