date,value
1955-01-01,5.39246865174773
1955-02-01,5.39246865174773
1955-03-01,5.39246865174773
1955-04-01,5.42182948030331
1955-05-01,5.41204216756057
1955-06-01,5.52458960606621
1955-07-01,5.5441620122064
1955-08-01,5.50501609025337
1955-09-01,5.53926946550768
1955-10-01,5.59799001294618
1955-11-01,5.68606916959497
1955-12-01,5.68606916959497
1956-01-01,5.66649676345478
1956-02-01,5.66649676345478
1956-03-01,5.74016127242463
1956-04-01,5.81949176992787
1956-05-01,5.80815868318846
1956-06-01,5.80249158498243
1956-07-01,5.77982652117625
1956-08-01,5.79682559644905
1956-09-01,5.78549250970964
1956-10-01,5.81949176992787
1956-11-01,5.84215794340669
1956-12-01,5.85915701867949
1957-01-01,5.91582245237655
1957-02-01,5.91015535417052
1957-03-01,5.89882337710375
1957-04-01,5.92148844090993
1957-05-01,5.92715553911596
1957-06-01,5.9894869613464
1957-07-01,6.04048529683743
1957-08-01,6.02915221009802
1957-09-01,6.01215313482523
1957-10-01,6.06881745884964
1957-11-01,6.10281671906787
1957-12-01,6.13114888108008
1958-01-01,6.1254828925467
1958-02-01,6.09714962086184
1958-03-01,6.14248196781949
1958-04-01,6.21047937858332
1958-05-01,6.18781431477714
1958-06-01,6.24447863880155
1958-07-01,6.14814795635287
1958-08-01,6.13681486961346
1958-09-01,6.14248196781949
1958-10-01,6.19914629184391
1958-11-01,6.22181357499538
1958-12-01,6.24447863880155
1959-01-01,6.25581172554096
1959-02-01,6.25014573700758
1959-03-01,6.25014573700758
1959-04-01,6.20481339004994
1959-05-01,6.18214721657111
1959-06-01,6.19348030331052
1959-07-01,6.17648122803773
1959-08-01,6.19348030331052
1959-09-01,6.15948104309229
1959-10-01,6.18781431477714
1959-11-01,6.23314666173479
1959-12-01,6.24447863880155
1960-01-01,6.22747956352876
1960-02-01,6.22747956352876
1960-03-01,6.21614647678935
1960-04-01,6.25014573700758
1960-05-01,6.25014573700758
1960-06-01,6.28414499722582
1960-07-01,6.29547808396523
1960-08-01,6.25581172554096
1960-09-01,6.261478823747
1960-10-01,6.31247715923802
1960-11-01,6.34080932125023
1960-12-01,6.35780839652303
1961-01-01,6.36347549472905
1961-02-01,6.36347549472905
1961-03-01,6.38614166820788
1961-04-01,6.42013981875347
1961-05-01,6.43714000369891
1961-06-01,6.49380432772332
1961-07-01,6.49380432772332
1961-08-01,6.55613685962641
1961-09-01,6.544803772887
1961-10-01,6.55613685962641
1961-11-01,6.62413427039023
1961-12-01,6.63546735712965
1962-01-01,6.65813353060847
1962-02-01,6.66479156648789
1962-03-01,6.69142371000555
1962-04-01,6.78463732199001
1962-05-01,6.80461253930091
1962-06-01,6.85121879045681
1962-07-01,6.82458664693915
1962-08-01,6.76466321435177
1962-09-01,6.75800517847235
1962-10-01,6.75134714259293
1962-11-01,6.7779792861106
1962-12-01,6.81127057518032
1963-01-01,6.83790271869798
1963-02-01,6.89782615128537
1963-03-01,6.90448418716479
1963-04-01,6.92445829480303
1963-05-01,6.91780025892362
1963-06-01,6.91780025892362
1963-07-01,6.87785204364712
1963-08-01,6.85787682633623
1963-09-01,6.87785204364712
1963-10-01,6.90448418716479
1963-11-01,6.92445829480303
1963-12-01,6.93777436656186
1964-01-01,6.97106565563159
1964-02-01,6.977723691511
1964-03-01,7.00435583502867
1964-04-01,7.06427926761605
1964-05-01,7.12420270020344
1964-06-01,7.1508348437211
1964-07-01,7.1508348437211
1964-08-01,7.17746698723876
1964-09-01,7.17746698723876
1964-10-01,7.18412502311818
1964-11-01,7.24404845570557
1964-12-01,7.27068170889588
1965-01-01,7.29065581653412
1965-02-01,7.29065581653412
1965-03-01,7.31728796005178
1965-04-01,7.4571089328648
1965-05-01,7.48374218605511
1965-06-01,7.50371629369336
1965-07-01,7.50371629369336
1965-08-01,7.51703236545219
1965-09-01,7.52369040133161
1965-10-01,7.53034843721102
1965-11-01,7.56363972628075
1965-12-01,7.59692990567782
1966-01-01,7.61024597743666
1966-02-01,7.61690401331607
1966-03-01,7.63022119474755
1966-04-01,7.72343480673201
1966-05-01,7.77669909376734
1966-06-01,7.79667431107823
1966-07-01,7.76338302200851
1966-08-01,7.80999038283706
1966-09-01,7.79667431107823
1966-10-01,7.81664841871648
1966-11-01,7.86325466987239
1966-12-01,7.87657185130386
1967-01-01,7.8898879230627
1967-02-01,7.89654595894211
1967-03-01,7.89654595894211
1967-04-01,7.9564693915295
1967-05-01,7.94981135565008
1967-06-01,7.98310153504716
1967-07-01,7.9364941742186
1967-08-01,7.91652006658036
1967-09-01,7.90986203070094
1967-10-01,7.96978546328833
1967-11-01,8.01639171444424
1967-12-01,8.06965711115221
1968-01-01,8.09629036434252
1968-02-01,8.13623857961901
1968-03-01,8.16287183280932
1968-04-01,8.30935084150176
1968-05-01,8.31600887738117
1968-06-01,8.34929905677825
1968-07-01,8.35595709265766
1968-08-01,8.3692731644165
1968-09-01,8.37593120029591
1968-10-01,8.41588052524505
1968-11-01,8.4358546328833
1968-12-01,8.54904346217866
1969-01-01,8.59564971333457
1969-02-01,8.64225707416312
1969-03-01,8.6755472535602
1969-04-01,8.76876086554466
1969-05-01,8.75544479378583
1969-06-01,8.79539411873497
1969-07-01,8.79539411873497
1969-08-01,8.77541890142408
1969-09-01,8.80205215461439
1969-10-01,8.86863362308119
1969-11-01,8.88860884039208
1969-12-01,8.94853005363418
1970-01-01,9.02176955798039
1970-02-01,9.06837691880895
1970-03-01,9.12164231551692
1970-04-01,9.26146328832994
1970-05-01,9.2880954318476
1970-06-01,9.31472868503791
