date,value
1980-01-01,45.2190999645466
1980-02-01,45.7904604334127
1980-03-01,46.4434438264026
1980-04-01,46.5250667505263
1980-05-01,46.8515584470212
1980-06-01,46.8515584470212
1980-07-01,46.7699355228975
1980-08-01,46.5250667505263
1980-09-01,46.7699355228975
1980-10-01,47.2596730676399
1980-11-01,46.8515584470212
1980-12-01,47.4229189158873
1981-01-01,47.0964272193924
1981-02-01,47.6677876882585
1981-03-01,48.4023940053721
1981-04-01,48.8921315501145
1981-05-01,49.2186232466094
1981-06-01,49.953229563723
1981-07-01,51.1775734255789
1981-08-01,52.07542559094
1981-09-01,53.3813923769196
1981-10-01,53.3813923769196
1981-11-01,53.2997694527959
1981-12-01,53.2181465286722
1982-01-01,53.3813923769196
1982-02-01,53.9527528457857
1982-03-01,53.9527528457857
1982-04-01,54.1976216181569
1982-05-01,54.4424903905281
1982-06-01,54.6057362387756
1982-07-01,54.7689820870231
1982-08-01,55.095473783518
1982-09-01,55.5035884041366
1982-10-01,56.2381947212502
1982-11-01,56.3198176453739
1982-12-01,56.89117811424
1983-01-01,57.7890302796011
1983-02-01,58.7685053690858
1983-03-01,59.9928492309418
1983-04-01,60.0744721550655
1983-05-01,59.7479804585706
1983-06-01,59.2582429138282
1983-07-01,59.5031116861994
1983-08-01,59.9928492309418
1983-09-01,60.0744721550655
1983-10-01,60.6458326239316
1983-11-01,61.135570168674
1983-12-01,61.3804389410452
1984-01-01,62.1150452581588
1984-02-01,62.7680286511486
1984-03-01,63.3393891200147
1984-04-01,64.0739954371283
1984-05-01,64.5637329818707
1984-06-01,64.482110057747
1984-07-01,65.379962223108
1984-08-01,66.1961914643453
1984-09-01,66.7675519332114
1984-10-01,67.502158250325
1984-11-01,68.0735187191911
1984-12-01,68.2367645674385
1985-01-01,70.6854522911505
1985-02-01,71.746550304759
1985-03-01,72.5627795459963
1985-04-01,71.1751898358928
1985-05-01,69.8692230499131
1985-06-01,68.8081250363046
1985-07-01,67.8286499468199
1985-08-01,66.3594373125927
1985-09-01,66.277814388469
1985-10-01,65.9513226919741
1985-11-01,65.2983392989842
1985-12-01,65.4615851472317
1986-01-01,65.2983392989842
1986-02-01,65.4615851472317
1986-03-01,65.9513226919741
1986-04-01,65.053470526613
1986-05-01,63.9107495888808
1986-06-01,63.5842578923859
1986-07-01,63.5026349682622
1986-08-01,64.0739954371283
1986-09-01,65.379962223108
1986-10-01,66.6859290090877
1986-11-01,67.2572894779538
1986-12-01,67.9918957950673
1987-01-01,68.3183874915623
1987-02-01,68.4816333398097
1987-03-01,68.4816333398097
1987-04-01,67.17566655383
1987-05-01,66.6859290090877
1987-06-01,66.5226831608402
1987-07-01,66.9307977814589
1987-08-01,67.17566655383
1987-09-01,67.0940436297063
1987-10-01,67.502158250325
1987-11-01,67.0124207055826
1987-12-01,66.277814388469
1988-01-01,65.5432080713554
1988-02-01,66.9307977814588
1988-03-01,67.3389124020775
1988-04-01,66.1961914643453
1988-05-01,65.6248309954792
1988-06-01,66.1145685402215
1988-07-01,67.502158250325
1988-08-01,66.6043060849639
1988-09-01,67.3389124020775
1988-10-01,66.8491748573351
1988-11-01,67.0124207055826
1988-12-01,66.6859290090877
1989-01-01,66.5226831608402
1989-02-01,67.0124207055826
1989-03-01,67.7470270226962
1989-04-01,68.400010415686
1989-05-01,69.0529938086758
1989-06-01,70.6038293670267
1989-07-01,70.4405835187792
1989-08-01,69.7059772016657
1989-09-01,70.6038293670267
1989-10-01,71.0119439876454
1989-11-01,71.0935669117691
1989-12-01,71.6649273806352
1990-01-01,71.746550304759
1990-02-01,71.746550304759
1990-03-01,72.4811566218725
1990-04-01,72.3179107736251
1990-05-01,71.6649273806352
1990-06-01,70.7670752152742
1990-07-01,70.1957147464081
1990-08-01,69.2978625810471
1990-09-01,70.2773376705318
1990-10-01,71.1751898358929
1990-11-01,70.6038293670267
1990-12-01,71.420058608264
1991-01-01,70.7670752152742
1991-02-01,70.522206442903
1991-03-01,71.0119439876454
1991-04-01,71.8281732288827
1991-05-01,71.5833044565115
1991-06-01,71.9914190771301
1991-07-01,73.3790087872336
1991-08-01,72.9708941666149
1991-09-01,72.8076483183674
1991-10-01,72.5627795459963
1991-11-01,72.5627795459963
1991-12-01,72.1546649253776
1992-01-01,71.3384356841403
1992-02-01,72.0730420012539
1992-03-01,72.64440247012
1992-04-01,72.8076483183674
1992-05-01,71.1751898358928
1992-06-01,70.7670752152742
1992-07-01,71.420058608264
1992-08-01,70.6854522911504
1992-09-01,70.8486981393979
1992-10-01,74.3584838767183
1992-11-01,75.9909423591929
1992-12-01,77.2969091451726
1993-01-01,77.2152862210489
1993-02-01,79.9904656412557
1993-03-01,81.0515636548642
1993-04-01,81.0515636548642
1993-05-01,79.9904656412557
1993-06-01,78.9293676276472
1993-07-01,80.6434490342455
1993-08-01,80.4802031859981
1993-09-01,79.4191051723896
1993-10-01,79.6639739447608
1993-11-01,80.0720885653794
1993-12-01,80.0720885653794
1994-01-01,80.9699407307405
1994-02-01,80.3985802618744
1994-03-01,81.1331865789879
1994-04-01,81.5413011996066
1994-05-01,81.4596782754828
1994-06-01,82.92889090971
1994-07-01,83.9083659991948
1994-08-01,85.051086936927
1994-09-01,83.1737596820812
1994-10-01,82.7656450614626
1994-11-01,83.4186284544524
1994-12-01,84.3981035439372
1995-01-01,85.7040703299168
1995-02-01,86.3570537229067
1995-03-01,86.1121849505355
1995-04-01,87.2549058882677
1995-05-01,87.4997746606389
1995-06-01,88.071135129505
1995-07-01,88.7241185224949
1995-08-01,89.295478991361
