Date,Open,High,Low,Close,Currency
2020-07-29,12.16,12.16,12.16,12.16,EUR
2020-07-30,12.14,12.14,12.14,12.14,EUR
2020-07-31,12.15,12.15,12.15,12.15,EUR
2020-08-03,12.17,12.17,12.17,12.17,EUR
2020-08-04,12.19,12.19,12.19,12.19,EUR
2020-08-05,12.2,12.2,12.2,12.2,EUR
2020-08-06,12.21,12.21,12.21,12.21,EUR
2020-08-07,12.22,12.22,12.22,12.22,EUR
2020-08-10,12.23,12.23,12.23,12.23,EUR
2020-08-11,12.23,12.23,12.23,12.23,EUR
2020-08-12,12.25,12.25,12.25,12.25,EUR
2020-08-13,12.24,12.24,12.24,12.24,EUR
2020-08-14,12.23,12.23,12.23,12.23,EUR
2020-08-17,12.23,12.23,12.23,12.23,EUR
2020-08-18,12.23,12.23,12.23,12.23,EUR
2020-08-19,12.24,12.24,12.24,12.24,EUR
2020-08-20,12.23,12.23,12.23,12.23,EUR
2020-08-21,12.24,12.24,12.24,12.24,EUR
2020-08-24,12.26,12.26,12.26,12.26,EUR
2020-08-27,12.25,12.25,12.25,12.25,EUR
2020-08-28,12.26,12.26,12.26,12.26,EUR
2020-08-31,12.25,12.25,12.25,12.25,EUR
2020-09-01,12.27,12.27,12.27,12.27,EUR
2020-09-02,12.29,12.29,12.29,12.29,EUR
2020-09-03,12.27,12.27,12.27,12.27,EUR
2020-09-04,12.25,12.25,12.25,12.25,EUR
2020-09-07,12.25,12.25,12.25,12.25,EUR
2020-09-08,12.24,12.24,12.24,12.24,EUR
2020-09-09,12.25,12.25,12.25,12.25,EUR
2020-09-10,12.25,12.25,12.25,12.25,EUR
2020-09-11,12.25,12.25,12.25,12.25,EUR
2020-09-14,12.26,12.26,12.26,12.26,EUR
2020-09-15,12.27,12.27,12.27,12.27,EUR
2020-09-16,12.28,12.28,12.28,12.28,EUR
2020-09-17,12.27,12.27,12.27,12.27,EUR
2020-09-18,12.26,12.26,12.26,12.26,EUR
2020-09-21,12.23,12.23,12.23,12.23,EUR
2020-09-22,12.24,12.24,12.24,12.24,EUR
2020-09-23,12.22,12.22,12.22,12.22,EUR
2020-09-24,12.2,12.2,12.2,12.2,EUR
2020-09-25,12.2,12.2,12.2,12.2,EUR
2020-09-28,12.23,12.23,12.23,12.23,EUR
2020-09-29,12.23,12.23,12.23,12.23,EUR
2020-09-30,12.23,12.23,12.23,12.23,EUR
2020-10-01,12.25,12.25,12.25,12.25,EUR
2020-10-02,12.25,12.25,12.25,12.25,EUR
2020-10-05,12.26,12.26,12.26,12.26,EUR
2020-10-06,12.28,12.28,12.28,12.28,EUR
2020-10-07,12.28,12.28,12.28,12.28,EUR
2020-10-08,12.31,12.31,12.31,12.31,EUR
2020-10-09,12.31,12.31,12.31,12.31,EUR
2020-10-12,12.33,12.33,12.33,12.33,EUR
2020-10-13,12.34,12.34,12.34,12.34,EUR
2020-10-14,12.34,12.34,12.34,12.34,EUR
2020-10-15,12.32,12.32,12.32,12.32,EUR
2020-10-16,12.33,12.33,12.33,12.33,EUR
2020-10-19,12.31,12.31,12.31,12.31,EUR
2020-10-20,12.31,12.31,12.31,12.31,EUR
2020-10-21,12.29,12.29,12.29,12.29,EUR
2020-10-22,12.29,12.29,12.29,12.29,EUR
2020-10-23,12.31,12.31,12.31,12.31,EUR
2020-10-26,12.3,12.3,12.3,12.3,EUR
2020-10-27,12.3,12.3,12.3,12.3,EUR
2020-10-28,12.23,12.23,12.23,12.23,EUR
2020-10-29,12.23,12.23,12.23,12.23,EUR
2020-10-30,12.21,12.21,12.21,12.21,EUR
2020-11-02,12.24,12.24,12.24,12.24,EUR
2020-11-03,12.26,12.26,12.26,12.26,EUR
2020-11-04,12.33,12.33,12.33,12.33,EUR
2020-11-05,12.37,12.37,12.37,12.37,EUR
2020-11-09,12.4,12.4,12.4,12.4,EUR
2020-11-10,12.41,12.41,12.41,12.41,EUR
2020-11-11,12.42,12.42,12.42,12.42,EUR
2020-11-12,12.43,12.43,12.43,12.43,EUR
2020-11-13,12.44,12.44,12.44,12.44,EUR
2020-11-16,12.47,12.47,12.47,12.47,EUR
2020-11-17,12.48,12.48,12.48,12.48,EUR
2020-11-18,12.48,12.48,12.48,12.48,EUR
2020-11-19,12.48,12.48,12.48,12.48,EUR
2020-11-20,12.49,12.49,12.49,12.49,EUR
2020-11-23,12.49,12.49,12.49,12.49,EUR
2020-11-24,12.53,12.53,12.53,12.53,EUR
2020-11-25,12.53,12.53,12.53,12.53,EUR
2020-11-26,12.53,12.53,12.53,12.53,EUR
2020-11-27,12.54,12.54,12.54,12.54,EUR
2020-11-30,12.53,12.53,12.53,12.53,EUR
2020-12-01,12.53,12.53,12.53,12.53,EUR
2020-12-02,12.54,12.54,12.54,12.54,EUR
2020-12-03,12.55,12.55,12.55,12.55,EUR
2020-12-04,12.56,12.56,12.56,12.56,EUR
2020-12-07,12.57,12.57,12.57,12.57,EUR
2020-12-08,12.57,12.57,12.57,12.57,EUR
2020-12-09,12.56,12.56,12.56,12.56,EUR
2020-12-10,12.57,12.57,12.57,12.57,EUR
2020-12-11,12.57,12.57,12.57,12.57,EUR
2020-12-14,12.56,12.56,12.56,12.56,EUR
2020-12-15,12.58,12.58,12.58,12.58,EUR
2020-12-16,12.58,12.58,12.58,12.58,EUR
2020-12-17,12.59,12.59,12.59,12.59,EUR
2020-12-18,12.58,12.58,12.58,12.58,EUR
2020-12-21,12.56,12.56,12.56,12.56,EUR
2020-12-22,12.57,12.57,12.57,12.57,EUR
2020-12-23,12.58,12.58,12.58,12.58,EUR
2020-12-24,12.58,12.58,12.58,12.58,EUR
2020-12-28,12.59,12.59,12.59,12.59,EUR
2020-12-29,12.59,12.59,12.59,12.59,EUR
2020-12-30,12.59,12.59,12.59,12.59,EUR
2020-12-31,12.6,12.6,12.6,12.6,EUR
